b_rr,b_cosi,b_epoch,b_f_c,b_f_s,b_lambda,A_rstar,A_logmstar,A_teff,A_feh,A_vsini,A_vline_TRES,A_dt_errscale_TRES,lnprob
0.0826692242610453,0.08670731309274476,2457287.7466875305,-0.3172264994610556,-0.0855185122501978,-2.034066052730908,1.6458917503653767,0.25984760126146,7454.6241596669215,-0.0006346585206005472,44.19586607274804,5.46944199317162,9.999863904073246,-29.557173190241897
0.0847887883257057,0.08728453659498106,2457287.7479232172,-0.3049541658664271,-0.09808747585163533,-2.033287346864749,1.646284939129038,0.25946139024974646,7456.337087309331,0.002958718666514177,44.25731477275703,5.468010501614961,9.999836051098592,-29.5569836519602
0.08658753459859136,0.08728884009253234,2457287.747453632,0.48168274109290843,-0.09231736660166993,-1.9922819633775422,1.6489339083484305,0.25931443019343614,7453.973592015571,-0.004032098734415708,44.24946645138643,5.505137873335786,9.999857579416851,-29.561325728674753
0.08594281179494795,0.08703461021120971,2457287.748399194,0.33329525212838124,-0.07994055304830185,-2.0156933489562747,1.6479402550392312,0.26018988836432505,7456.533918868703,0.0034393328162374793,44.16189775751359,5.524602546272613,9.999812943989111,-29.559435274992936
0.08400100281281014,0.08766197116244327,2457287.747571758,-0.331919779912659,-0.06917977774507059,-2.0229212552176308,1.6448509959256676,0.25928480417614436,7454.710612838882,0.0043667627912709825,44.23320222610805,5.48815324065065,9.99985084204241,-29.55682736217216
0.08325645872942077,0.08682870587612287,2457287.747385391,-0.25625263453178815,-0.09086891799383111,-2.0280048567894307,1.6460907293320675,0.25924135184198704,7454.539145473046,0.0003960181397779938,44.249361458301664,5.485007960894618,9.999827520768445,-29.556074341909557
0.08645484714874287,0.08722453613004079,2457287.7474097605,-0.3859746359360453,-0.08317371892357112,-2.0171321418959276,1.6474605901108783,0.2600214350520565,7453.00089545129,-0.0016128546091731277,44.213124892516824,5.463828998101113,9.999890187209264,-29.5579958134284
0.08582829050875232,0.08658419431131574,2457287.7469833973,0.08821805618214032,-0.17697658119243675,-2.0297853621808604,1.6501670894739393,0.2593506400270009,7454.783628051232,0.0003951407913129582,44.19660701247595,5.489098371260692,9.999844500510383,-29.55898218160943
0.08549005436066019,0.0870935886480169,2457287.7479547136,-0.023346370021879254,-0.15479370367416984,-2.0238975247651543,1.647155325176434,0.2589784392242159,7456.693544409931,-0.0023691973864325673,44.1571777012616,5.485306688223216,9.999845693410313,-29.556195509779336
0.08356301301497958,0.08704183087511519,2457287.7468158524,-0.3237642113153983,-0.0917879517702278,-2.02148895322035,1.6457763437007984,0.2596387144108759,7452.858313365588,-0.004721069281593865,44.22135274155799,5.483524934376768,9.99983710583218,-29.559151562299963
